,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,4.1,181.373845504
1,US00724F1012,ADOBE INC.,ADBE,11.468,175.130279936
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,6.375,136.736940032
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,4.635,19.097454592
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.843,70.009561088
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,4.809,1432.746590208
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.001,1301.262106624
7,US0378331005,APPLE INC.,AAPL,6.774,2545.775542272
8,US0382221051,APPLIED MATERIALS INC.,AMAT,3.324,80.524918784
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,8.795,3.57686912
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,10.287,201.405267968
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,23.452,63.22188288
12,US0527691069,AUTODESK INC.,ADSK,9.597,43.838971904
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.173,50.285551616
14,CA0585861085,BALLARD PWR SYS,BLDP,12.71,2.328699904
15,DE000BASF111,BASF SE NA O.N.,BFFAF,0.71,38.576115712
16,DE000BAY0017,BAYER AG NA O.N.,BAYZF,1.802,51.493752832
17,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,-5.274,6.327809024
18,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,35.605,3.840657664
19,US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
20,US08862E1091,BEYOND MEAT INC.,BYND,4.892,1.542031616
21,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.262,35.16626944
22,US8522341036,BLOCK INC. A,SQ,2.524,40.528621568
23,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,7.834,201.91797248
24,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,5.471,4.638998016
25,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.321,105.224167424
26,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,6.111,10.768648192
27,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,2.254,17.709678592
