,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.621,231.962525696
1,US00724F1012,ADOBE INC.,ADBE,20.624,315.724234752
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,11.715,177.862836224
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,13.976,54.001762304
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.828,98.403155968
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,7.814,1971.099664384
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,4.029,1800.2182144
7,US0378331005,APPLE INC.,AAPL,6.929,2456.28403712
8,US0382221051,APPLIED MATERIALS INC.,AMAT,6.487,141.641580544
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,88.363,24.649170944
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,19.553,360.133558272
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,48.433,110.14426624
12,US0527691069,AUTODESK INC.,ADSK,18.046,72.827510784
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.093,60.301893632
14,CA0585861085,BALLARD PWR SYS,BLDP,43.879,5.193591296
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,1.767,7.4528384
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,6875.151,6.142442496
17,US08862E1091,BEYOND MEAT INC.,BYND,11.969,5.216820224
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,4.286,61.701173248
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.893,232.937603072
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,8.199,7.042490368
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.628,111.933341696
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,11.336,18.449924096
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,12.137,88.972066816
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,4.697,6.569842688
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,26.466,33.795452928
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.945,23.325888512
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,9.653,15.146841088
29,US30303M1027,"FACEBOOK INC.A DL-,000006",FB,8.208,956.730703872
30,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,3.016,17.430296576
31,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,14.136,60.05413888
32,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,6.317,63.230476288
33,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,22.358,127.229952
34,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,12.282,4.914436096
35,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.848,2.968739328
36,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
38,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
39,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,57772.996,2.700465664
40,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,16.148,41.74088192
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,3.074,85.395447808
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,14.023,2534.543720448
