,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.167,213.328183296
1,US00724F1012,ADOBE INC.,ADBE,13.647,222.560600064
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,7.997,192.484655104
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,9.626,37.620916224
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,,89.65685248
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,6.46,1780.09407488
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.386,1505.145257984
7,US0378331005,APPLE INC.,AAPL,7.326,2718.159601664
8,US0382221051,APPLIED MATERIALS INC.,AMAT,4.775,117.650464768
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,29.288,9.324977152
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,13.402,261.359403008
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,32.393,72.720351232
12,US0527691069,AUTODESK INC.,ADSK,11.115,46.194327552
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.178,55.608147968
14,CA0585861085,BALLARD PWR SYS,BLDP,19.362,3.24405376
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,317345.78,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,80.978,4.659914752
17,US08862E1091,BEYOND MEAT INC.,BYND,7.17,2.94243584
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,2.368,35.637833728
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.728,239.943090176
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,5.798,3.596007936
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.505,104.995422208
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,8.062,13.961670656
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,4.575,46.62605824
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,2.597,4.17629312
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,15.438,21.299841024
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.201,19.469707264
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,7.798,12.409317376
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,1.361,8.803759104
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,11.78,52.11615232
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,3.894,43.238354944
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,18.016,107.258806272
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,6.149,2.030547968
34,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.94,2.539613184
35,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
36,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
38,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,19921.531,0.892105472
39,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,10.929,31.146749952
40,US30303M1027,"META PLATF.  A DL-,000006",FB,4.4,566.462906368
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,3.461,99.861979136
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,11.755,2250.483695616
43,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.54,36.939247616
44,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,5.909,168.71923712
45,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,21.709,590.9528576
46,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,,0.038391476
47,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,18.417,2.587835648
48,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,13.462,24.4831744
49,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,4.666,124.20128768
50,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,5.67,17.29836032
