ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
US0028241000,ABBOTT LABS,ABT,4.145,157.692166144
US00724F1012,ADOBE INC.,ADBE,13.048,249.85042944
US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,7.605,169.79075072
US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,5.213,20.357197824
DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.159,94.271488
US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,5.728,1738.985046016
US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.694,1339.147288576
US0378331005,APPLE INC.,AAPL,7.405,2796.176801792
US0382221051,APPLIED MATERIALS INC.,AMAT,4.432,118.068412416
US04342Y1047,ASANA INC. CL.A O.N.,ASAN,6.096,3.8619392
NL0010273215,"ASML HOLDING    EO -,09",ASMLF,9.143,246.044606464
US0494681010,ATLASSIAN CORP. CL.A,TEAM,13.464,48.46741504
US0527691069,AUTODESK INC.,ADSK,8.705,44.77714432
US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.284,44.554440704
CA0585861085,BALLARD PWR SYS,BLDP,4.034,1.087275392
DE000BASF111,BASF SE NA O.N.,BFFAF,0.788,40.308076544
DE000BAY0017,BAYER AG NA O.N.,BAYZF,1.721,45.088960512
US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,10.208,1.762980992
US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
US08862E1091,BEYOND MEAT INC.,BYND,4.377,0.556293312
US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.033,24.8354816
US8522341036,BLOCK INC. A,SQ,1.31,26.336980992
US11135F1012,"BROADCOM INC.     DL-,001",AVGO,11.051,364.519292928
US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,3.016,2.626905088
CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.066,93.829660672
DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,3.582,7.293881344
US18915M1071,"CLOUDFLARE INC. A DL-,001",NET,18.022,20.440772608
US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,6.104,17.4158336
CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,11.733,3.518719232
US22788C1053,"CROWDSTRIKE HLD. DL-,0005",CRWD,15.895,44.347707392
DE0005810055,DEUTSCHE BOERSE NA O.N.,DBOEF,6.147,31.209908224
DE0005552004,DEUTSCHE POST AG NA O.N.,DPSTF,0.754,48.869810176
DE0005557508,DT.TELEKOM AG NA,DTEGF,2.451,107.609227264
DE0006095003,ENCAVIS AG  INH. O.N.,ENCVF,7.196,2.127206272
US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,5.847,16.882113536
FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,1.958,10.610169856
US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,5.906,11.792003072
US31189P1021,"FATE THERAPEUTICS DL-,001",FATE,-0.872,0.16755608
DE0005785604,FRESENIUS SE+CO.KGAA O.N.,FSNUF,1.252,15.162330112
US37637K1088,"GITLAB CL.A   DL-,0000025",GTLB,12.203,7.068242944
DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,0.646,4.838211584
DE0006048432,HENKEL AG+CO.KGAA VZO,HENOF,1.412,27.653220352
US4523271090,"ILLUMINA INC.      DL-,01",ILMN,4.915,20.438112256
DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,2.962,46.17478144
US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,13.542,95.972622336
US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,2.877,0.165948736
US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.537,1.564569728
NL0015000F41,"LILIUM N.V.  CL.A  EO0,01",LILM,,0.33509504
US5747951003,"MASIMO CORP.      DL-,001",MASI,2.25,4.085479936
US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,4.073,9.8832128
IE00BTN1Y115,"MEDTRONIC PLC    DL-,0001",MDT,3.582,95.74494208
DE0007100000,MERCEDES-BENZ GRP NA O.N.,MBGAF,1.058,72.501829632
DE0006599905,MERCK KGAA O.N.,MKGAF,3.55,68.919721984
US30303M1027,"META PLATF.  A DL-,000006",META,6.582,809.747677184
US5951121038,"MICRON TECHN. INC. DL-,10",MU,5.174,75.994652672
US5949181045,"MICROSOFT    DL-,00000625",MSFT,11.34,2434.955214848
DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.79,54.331314176
DE000A31C305,MYNARIC AG  NA O.N.,MOYFF,12.393,0.127477536
US64110L1061,"NETFLIX INC.      DL-,001",NFLX,5.168,157.618520064
KYG6525F1028,"NIO INC. CL. A DL -,00025",NIOIF,0.402,14.992379904
US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,34.204,1136.22581248
US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,3.763,0.010723386
DK0060094928,ORSTED A/S          DK 10,DOGEF,0.559,19.314225152
US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,14.429,1.9994528
US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,16.909,37.355769856
US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,2.19,61.215731712
