ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
NL0012044747,REDCARE PHARMACY INH.,SHPPF,1.412,3.110829312
US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,2.563,9.349433344
US79466L3024,"SALESFORCE INC.   DL-,001",CRM,6.065,199.066058752
DE0007164600,SAP SE O.N.,SAPGF,4.62,150.576431104
DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,6.553,19.93588736
DE0007276503,SECUNET SECURITY AG O.N.,,,
CA82509L1076,SHOPIFY A SUB.VTG,SHOP,9.913,66.126794752
DE0007236101,SIEMENS AG  NA O.N.,SMAWF,2.018,111.40644864
DE000A0DJ6J9,SMA SOLAR TECHNOL.AG,SMTGF,1.499,2.37227136
US8334451098,"SNOWFLAKE INC. A DL-,0001",SNOW,19.795,51.815653376
LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,2.274,29.894447104
IL0011267213,STRATASYS LTD,SSYS,0.952,0.78746816
DE000A2YN900,TEAMVIEWER SE  INH O.N.,TMVWF,5.547,2.958154752
US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,1.454,3.053261568
KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,0.782,372.835516416
US88160R1014,"TESLA INC. DL -,001",TSLA,8.304,807.669334016
US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,4.995,186.355974144
US90138F1021,TWILIO INC.,TWLO,1.874,10.0664832
US90364P1057,"UIPATH INC.   A DL-,00001",PATH,6.058,8.722098176
US91332U1016,"UNITY SOFTWARE DL-,000005",U,6.749,10.748299264
DE000A0TGJ55,VARTA AG O.N.,VARGF,5.326,4.33879296
DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,1.68,0.110480136
DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,0.806,62.607106048
US98980L1017,"ZOOM VIDEO COMM. A -,001",ZM,2.899,18.885050368
IE00B3RBWM25,VANG.FTSE A.-WO.U.ETF DLD,VFPEF,,
US912810SN90,"1,25 %        USA 20/50                   15.MN",,,
ES0000012H58,"1,45 %        SPANIEN 21/71               31.OKT",,,
IT0005438004,"1,5 %         ITALIEN 21/45               30.AO",,,
