,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,4.461,189.212213248
1,US00724F1012,ADOBE INC.,ADBE,8.876,152.817270784
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,4.75,107.27030784
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,3.832,15.776361472
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.841,85.3180416
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,4.065,1178.823819264
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.007,902.340345856
7,US0378331005,APPLE INC.,AAPL,5.991,2171.455668224
8,US0382221051,APPLIED MATERIALS INC.,AMAT,3.575,89.953902592
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,5.481,3.070328832
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,11.717,250.857127936
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,12.393,37.364686848
12,US0527691069,AUTODESK INC.,ADSK,9.056,41.882533888
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.183,40.078680064
14,CA0585861085,BALLARD PWR SYS,BLDP,7.704,1.712356736
15,DE000BASF111,BASF SE NA O.N.,BFFAF,0.74,46.017343488
16,DE000BAY0017,BAYER AG NA O.N.,BAYZF,1.783,52.97229824
17,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,-3.901,4.838009344
18,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,21.704,2.981543424
19,US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
20,US08862E1091,BEYOND MEAT INC.,BYND,3.834,0.931912512
21,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.699,44.178374656
22,US8522341036,BLOCK INC. A,SQ,2.333,39.406895104
23,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,7.927,225.994457088
24,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,4.844,4.249491968
25,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.194,99.997523968
26,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,6.005,12.060623872
27,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,1.546,9.94696192
28,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,146.558,3.7189696
29,DE0005552004,DEUTSCHE POST AG NA O.N.,DPSTF,0.673,47.034032128
30,DE0005557508,DT.TELEKOM AG NA,DTEGF,2.558,101.258272768
31,DE0006095003,ENCAVIS AG  INH. O.N.,ENCVF,3.763,2.953056768
32,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,21.894,42.688290816
33,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,2.414,13.357541376
34,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,4.901,7.926483456
35,US31189P1021,"FATE THERAPEUTICS DL-,001",FATE,17.337,1.380791424
36,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,0.529,4.214377472
37,DE0006048432,HENKEL AG+CO.KGAA VZO,HENOF,1.525,29.357375488
38,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,7.378,32.633458688
39,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,3.105,44.003545088
40,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,14.744,94.459805696
41,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,3.246,0.507652608
42,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.806,2.54677504
43,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,,0.510149888
44,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,4.77,11.716886528
45,IE00BTN1Y115,"MEDTRONIC PLC    DL-,0001",MDT,3.855,103.381590016
46,US30303M1027,"META PLATF.  A DL-,000006",META,2.478,308.7499264
47,US5951121038,"MICRON TECHN. INC. DL-,10",MU,1.782,56.769916928
48,US5949181045,"MICROSOFT    DL-,00000625",MSFT,9.294,1856.237600768
49,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.641,45.365444608
50,DE000A0JCY11,MYNARIC AG  INH O.N.,MOYFF,19.26,0.104170784
51,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,4.822,129.23826176
52,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,15.177,422.443843584
53,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,-4.011,0.015511363
54,DK0060094928,ORSTED A/S          DK 10,DOGEF,0.687,38.73390592
55,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,15.788,2.048547584
56,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,7.31,14.582131712
57,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,3.08,79.539888128
58,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,1.92,6.487196672
59,US79466L3024,"SALESFORCE INC.   DL-,001",CRM,4.498,130.440003584
60,DE0007164600,SAP SE O.N.,SAPGF,4.356,122.281680896
61,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,6.92,25.527578624
62,DE0007276503,SECUNET SECURITY AG O.N.,,,
63,NL0012044747,SHOP APOTHEKE EUROPE INH.,SHPPF,0.842,0.938230912
64,CA82509L1076,SHOPIFY A SUB.VTG,SHOP,8.58,46.2913536
65,DE0007236101,SIEMENS AG  NA O.N.,SMAWF,2.125,112.024969216
66,US8334451098,"SNOWFLAKE INC. A DL-,0001",SNOW,23.815,45.876236288
67,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,1.201,13.974887424
68,IL0011267213,STRATASYS LTD,SSYS,0.762,0.77736576
69,DE000A2YN900,TEAMVIEWER AG  INH O.N.,TMVWF,4.882,2.427487232
70,US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,2.282,4.365552128
71,KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,0.94,390.834716672
72,US88160R1014,"TESLA INC. DL -,001",TSLA,6.427,497.882431488
73,US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,5.672,217.194217472
74,US90138F1021,TWILIO INC.,TWLO,1.705,8.857536512
75,US90364P1057,"UIPATH INC.   A DL-,00001",PATH,5.183,7.004419584
76,US91332U1016,"UNITY SOFTWARE DL-,000005",U,8.153,11.885620224
77,DE000A0TGJ55,VARTA AG O.N.,VARGF,4.759,4.112908032
78,DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,2.323,0.137546176
79,DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,0.916,82.513149952
80,US98980L1017,"ZOOM VIDEO COMM. A -,001",ZM,3.759,20.521003008
81,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
82,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
