ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
US0028241000,ABBOTT LABS,ABT,4.405,168.121679872
US00724F1012,ADOBE INC.,ADBE,12.516,239.797403648
US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,7.764,173.264453632
US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,5.595,21.784551424
DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.182,95.276990464
US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,5.735,1741.422067712
US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.659,1320.265711616
US0378331005,APPLE INC.,AAPL,7.35,2774.914039808
US0382221051,APPLIED MATERIALS INC.,AMAT,4.405,117.357355008
US04342Y1047,ASANA INC. CL.A O.N.,ASAN,5.766,3.74990336
NL0010273215,"ASML HOLDING    EO -,09",ASMLF,9.013,233.80942848
US0494681010,ATLASSIAN CORP. CL.A,TEAM,14.257,51.27286784
US0527691069,AUTODESK INC.,ADSK,8.728,44.898988032
US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.259,47.111688192
CA0585861085,BALLARD PWR SYS,BLDP,3.822,1.072340224
DE000BASF111,BASF SE NA O.N.,BFFAF,0.775,39.363096576
DE000BAY0017,BAYER AG NA O.N.,BAYZF,1.737,45.664366592
US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,9.411,1.69724544
US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
US08862E1091,BEYOND MEAT INC.,BYND,4.309,0.53182672
US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.232,26.664933376
US8522341036,BLOCK INC. A,SQ,1.331,26.739634176
US11135F1012,"BROADCOM INC.     DL-,001",AVGO,10.61,348.868411392
US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,3.038,2.656991232
CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.063,92.389351424
DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,3.719,7.58009088
US18915M1071,"CLOUDFLARE INC. A DL-,001",NET,18.434,20.905334784
US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,6.566,18.608828416
CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,11.149,3.419454976
US22788C1053,"CROWDSTRIKE HLD. DL-,0005",CRWD,15.079,42.191454208
DE0005810055,DEUTSCHE BOERSE NA O.N.,DBOEF,6.16,31.526383616
DE0005552004,DEUTSCHE POST AG NA O.N.,DPSTF,0.755,49.078501376
DE0005557508,DT.TELEKOM AG NA,DTEGF,2.422,105.3558784
DE0006095003,ENCAVIS AG  INH. O.N.,ENCVF,7.196,2.127206272
US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,5.621,16.248062976
FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,2.049,10.718835712
