,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.438,221.160030208
1,US00724F1012,ADOBE INC.,ADBE,20.863,317.986668544
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,11.994,190.560862208
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,13.409,51.506847744
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.807,94.1737984
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,7.668,1940.970012672
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,4.09,1815.797694464
7,US0378331005,APPLE INC.,AAPL,7.465,2656.852508672
8,US0382221051,APPLIED MATERIALS INC.,AMAT,5.798,134.54544896
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,63.143,19.6406272
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,18.391,332.6967808
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,43.454,99.349233664
12,US0527691069,AUTODESK INC.,ADSK,13.71,66.834587648
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.178,52.692652032
14,CA0585861085,BALLARD PWR SYS,BLDP,36.592,4.735245824
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,1.767,6.247973888
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,6064.575,5.581003776
17,US08862E1091,BEYOND MEAT INC.,BYND,10.702,4.784642048
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,5.32,73.909477376
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.727,229.982191616
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,7.811,6.346548224
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.675,118.250504192
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,11.071,17.038425088
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,11.114,81.812324352
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,4.273,6.192564736
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,27.602,34.416050176
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.825,22.023880704
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,9.3,15.179580416
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,3.197,18.168918016
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,13.647,57.13702912
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,5.789,60.34173952
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,21.348,121.253388288
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,10.558,4.115425024
