,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,4.519,185.44205824
1,US00724F1012,ADOBE INC.,ADBE,11.526,175.604629504
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,7.909,140.968165376
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,4.806,19.229331456
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.868,80.108904448
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,5.039,1405.80225024
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.504,1054.780096512
7,US0378331005,APPLE INC.,AAPL,5.927,2134.5042432
8,US0382221051,APPLIED MATERIALS INC.,AMAT,3.646,83.793297408
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,8.953,3.43798016
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,11.72,211.271073792
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,17.968,42.152353792
12,US0527691069,AUTODESK INC.,ADSK,9.221,37.609783296
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.208,48.73150464
14,CA0585861085,BALLARD PWR SYS,BLDP,8.945,1.788200064
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,-7.545,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,19.926,2.098166656
17,US08862E1091,BEYOND MEAT INC.,BYND,4.425,1.41508928
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.244,32.472199168
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,8.304,218.123501568
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,6.372,5.29617408
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.442,127.691636736
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,7.078,11.368916992
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,1.532,13.621419008
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,1.825,4.281054208
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,14.482,24.04671488
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.02,16.148222976
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,6.086,6.424052224
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,0.968,5.9259392
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,10.556,30.37065216
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,3.474,33.898385408
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,13.878,69.650497536
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,4.108,0.49122512
34,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.904,2.783793664
35,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
36,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
38,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,12536.912,0.7273216
39,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,8.65,20.472707072
40,US30303M1027,"META PLATF.  A DL-,000006",FB,,
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,2.364,65.910800384
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,10.64,1818.883129344
43,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.517,31.830214656
44,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,3.153,75.164524544
45,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,16.921,389.923241984
46,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,,0.017236792
47,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,10.08,0.886803968
48,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,12.224,15.316824064
49,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,4.023,86.615842816
50,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,3.752,9.842089984
51,US79466L3024,"SALESFORCE.COM    DL-,001",CRM,6.72,163.539550208
52,DE0007164600,SAP SE O.N.,SAPGF,4.488,107.217993728
53,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,7.697,19.529490432
54,DE0007276503,SECUNET SECURITY AG O.N.,,,
55,NL0012044747,SHOP APOTHEKE EUROPE INH.,SHPPF,1.417,1.59885184
56,CA82509L1076,SHOPIFY A SUB.VTG,SHOP,10.222,39.154741248
57,DE0007236101,SIEMENS AG  NA O.N.,SMAWF,2.235,95.09728256
58,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,1.76,18.889140224
59,US8522341036,SQUARE INC. A,SQ,3.283,28.949680128
60,IL0011267213,STRATASYS LTD,SSYS,1.295,1.124068352
61,DE000A2YN900,TEAMVIEWER AG  INH O.N.,TMVWF,5.496,2.876442368
62,US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,2.894,4.58329088
63,KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,1.032,454.25328128
64,US88160R1014,"TESLA INC. DL -,001",TSLA,14.35,649.967108096
65,US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,6.015,201.717121024
66,US90138F1021,TWILIO INC.,TWLO,5.71,14.915436544
67,US90364P1057,"UIPATH INC.   A DL-,00001",PATH,8.7,9.107453952
68,US91332U1016,"UNITY SOFTWARE DL-,000005",U,17.661,10.038477824
69,DE000A0TGJ55,VARTA AG O.N.,VARGF,4.535,4.20554112
70,DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,,0.310977024
71,DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,0.986,96.756662272
