,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,4.169,182.284484608
1,US00724F1012,ADOBE INC.,ADBE,8.106,138.244030464
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,5.595,123.931344896
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,4.68,19.073241088
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.855,72.705851392
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,4.514,1348.89734144
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.789,1269.986230272
7,US0378331005,APPLE INC.,AAPL,6.434,2482.617188352
8,US0382221051,APPLIED MATERIALS INC.,AMAT,3.131,77.186924544
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,9.872,4.824968704
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,9.599,186.682277888
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,22.036,61.599084544
12,US0527691069,AUTODESK INC.,ADSK,9.191,42.500481024
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.213,44.034486272
14,CA0585861085,BALLARD PWR SYS,BLDP,11.39,2.1847104
15,DE000BASF111,BASF SE NA O.N.,BFFAF,0.718,38.409076736
16,DE000BAY0017,BAYER AG NA O.N.,BAYZF,1.83,50.812289024
17,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,-5.274,6.327809024
18,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,37.285,3.784374016
19,US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
20,US08862E1091,BEYOND MEAT INC.,BYND,4.036,1.08617088
21,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.247,32.330493952
22,US8522341036,BLOCK INC. A,SQ,2.373,37.60125952
23,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,7.357,203.245699072
24,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,5.027,4.341792256
25,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.268,102.360899584
26,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,5.812,10.10776576
27,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,2.526,18.314668032
28,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,248.234,5.368599552
29,DE0005552004,DEUTSCHE POST AG NA O.N.,DPSTF,0.664,39.906062336
