,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.883,231.168557056
1,US00724F1012,ADOBE INC.,ADBE,15.982,247.485546496
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,10.969,161.548025856
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,11.022,42.777403392
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,1.054,103.462412288
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,7.294,1862.882951168
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.784,1645.101973504
7,US0378331005,APPLE INC.,AAPL,8.054,2834.99823104
8,US0382221051,APPLIED MATERIALS INC.,AMAT,5.886,141.744488448
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,36.131,11.760872448
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,16.089,307.006275584
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,35.738,77.031227392
12,US0527691069,AUTODESK INC.,ADSK,14.372,57.916690432
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.16,53.656776704
14,CA0585861085,BALLARD PWR SYS,BLDP,22.388,3.315535104
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,0.831,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,5003.209,4.54691328
17,US08862E1091,BEYOND MEAT INC.,BYND,10.006,4.652914176
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,3.671,50.060357632
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,10.381,249.140543488
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,7.509,6.149026304
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.574,97.086521344
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,10.103,16.505367552
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,8.209,61.084246016
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,3.648,5.134961664
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,16.034,19.604062208
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.558,20.986738688
