,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.127,205.833388032
1,US00724F1012,ADOBE INC.,ADBE,12.115,188.007743488
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,6.443,138.179149824
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,6.938,28.403757056
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.892,92.558737408
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,5.893,1518.983708672
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.085,1405.268918272
7,US0378331005,APPLE INC.,AAPL,7.182,2555.128578048
8,US0382221051,APPLIED MATERIALS INC.,AMAT,4.184,96.122208256
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,13.612,5.207519744
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,12.717,221.390848
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,25.55,61.764644864
12,US0527691069,AUTODESK INC.,ADSK,9.49,39.217573888
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.291,40.954703872
14,CA0585861085,BALLARD PWR SYS,BLDP,13.062,2.476438272
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,317345.78,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,36.16,2.818717696
17,US08862E1091,BEYOND MEAT INC.,BYND,6.167,2.427937024
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,2.596,35.648946176
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.45,228.449533952
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,5.412,4.286411776
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.498,93.72688384
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,7.856,13.01361664
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,3.374,32.0958464
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,2.815,4.021895936
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,16.276,22.356269056
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.291,17.828530176
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,8.508,10.773384192
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,2.1,6.840777728
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,13.895,46.505504768
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,4.069,37.501083648
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,17.62,84.0757248
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,8.569,1.136382464
34,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.939,2.627363328
35,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
36,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
38,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,46665.07,0.880740992
39,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,14.602,21.823021056
40,US30303M1027,"META PLATF.  A DL-,000006",FB,4.586,486.668894208
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,2.795,74.4577024
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,13.722,2126.410022912
43,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.645,34.48621056
44,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,9.511,83.5141632
45,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,29.858,458.901782528
46,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,,0.025942242
47,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,17.368,1.464770688
48,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,13.966,21.170898944
49,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,8.994,97.060970496
50,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,11.094,11.388608512
51,US79466L3024,"SALESFORCE.COM    DL-,001",CRM,8.395,172.059787264
52,DE0007164600,SAP SE O.N.,SAPGF,5.323,117.964005376
53,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,10.134,23.371352064
54,DE0007276503,SECUNET SECURITY AG O.N.,,,
