,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,4.704,186.91284992
1,US00724F1012,ADOBE INC.,ADBE,11.588,185.706676224
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,6.066,143.787851776
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,5.438,20.342065152
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.91,84.717494272
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,5.211,1505.06962944
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.744,1107.574915072
7,US0378331005,APPLE INC.,AAPL,6.797,2500.7751168
8,US0382221051,APPLIED MATERIALS INC.,AMAT,4.034,94.68227584
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,13.247,4.10996224
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,13.045,234.33240576
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,21.974,45.876076544
12,US0527691069,AUTODESK INC.,ADSK,9.673,40.54921216
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.27,42.021773312
14,CA0585861085,BALLARD PWR SYS,BLDP,13.033,1.992299008
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,-7.578,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,33.161,2.510671616
17,US08862E1091,BEYOND MEAT INC.,BYND,5.949,1.92926336
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.68,35.646476288
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,8.97,237.37049088
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,5.543,3.549857792
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.324,97.825308672
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,7.856,10.632251392
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,2.746,19.116081152
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,1.825,3.661968896
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,16.276,20.27997184
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.291,16.707045376
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,8.508,8.962311168
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,2.1,6.689213952
