,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,4.175,181.645131776
1,US00724F1012,ADOBE INC.,ADBE,8.629,151.789846528
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,5.078,118.379462656
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,3.623,14.74820608
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.974,86.338322432
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,4.179,1236.04238336
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.123,944.098967552
7,US0378331005,APPLE INC.,AAPL,6.185,2364.580036608
8,US0382221051,APPLIED MATERIALS INC.,AMAT,3.579,90.59913728
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,7.347,3.629785088
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,11.609,238.938341376
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,10.05,29.665871872
12,US0527691069,AUTODESK INC.,ADSK,9.892,44.438892544
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.291,32.701220864
14,CA0585861085,BALLARD PWR SYS,BLDP,9.225,1.747032576
15,DE000BASF111,BASF SE NA O.N.,BFFAF,0.756,46.68628992
16,DE000BAY0017,BAYER AG NA O.N.,BAYZF,1.806,55.025565696
17,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,-9.586,6.327809024
18,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,25.125,3.179561216
19,US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
20,US08862E1091,BEYOND MEAT INC.,BYND,3.786,0.79040448
21,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.445,38.162214912
22,US8522341036,BLOCK INC. A,SQ,2.331,37.18805504
23,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,7.518,212.070285312
24,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,4.748,3.955977984
25,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.169,86.617448448
26,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,6.843,12.040853504
27,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,1.775,11.204081664
28,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,203.455,4.257633024
29,DE0005552004,DEUTSCHE POST AG NA O.N.,DPSTF,0.687,48.189579264
30,DE0005557508,DT.TELEKOM AG NA,DTEGF,2.541,99.488514048
31,DE0006095003,ENCAVIS AG  INH. O.N.,ENCVF,3.763,2.953056768
32,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,20.948,42.70733312
33,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,2.287,13.36621568
34,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,4.661,7.385435136
35,US31189P1021,"FATE THERAPEUTICS DL-,001",FATE,22.265,1.874465664
36,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,0.628,4.305704448
37,DE0006048432,HENKEL AG+CO.KGAA VZO,HENOF,1.503,28.927637504
38,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,7.706,34.761728
39,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,3.163,42.366599168
40,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,14.444,92.332433408
