,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.86,240.443244544
1,US00724F1012,ADOBE INC.,ADBE,16.635,246.686875648
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,10.875,163.450011648
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,11.848,46.008856576
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,1.0,101.369061376
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,7.163,1828.849188864
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.835,1661.14295808
7,US0378331005,APPLE INC.,AAPL,8.047,2844.705685504
8,US0382221051,APPLIED MATERIALS INC.,AMAT,5.936,139.55874816
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,38.068,11.558597632
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,17.226,302.208548864
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,37.35,79.538528256
12,US0527691069,AUTODESK INC.,ADSK,14.096,58.277441536
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.196,52.960661504
14,CA0585861085,BALLARD PWR SYS,BLDP,24.549,3.620781056
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,0.831,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,5693.953,4.862852096
17,US08862E1091,BEYOND MEAT INC.,BYND,8.526,4.174449664
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,3.594,51.841646592
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,10.696,264.234303488
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,7.672,5.918276096
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.549,92.865363968
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,11.105,18.203879424
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,8.1,61.258776576
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,3.334,5.154859008
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,19.204,20.545746944
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.731,21.358133248
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,8.508,12.972174336
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,2.1,12.229941248
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,13.895,59.15486208
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,5.497,58.304167936
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,22.338,120.335286272
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,8.569,2.961113856
34,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.929,2.102486784
35,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
36,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
38,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,46665.07,1.9461536
39,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,13.856,35.981520896
40,US30303M1027,"META PLATF.  A DL-,000006",FB,7.628,930.44310016
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,3.571,107.424301056
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,13.184,2365.463986176
43,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.65,42.976780288
44,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,9.146,245.585870848
45,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,29.858,696.9376768
46,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,,0.03308071
47,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,33.38,3.84281728
48,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,23.867,33.932582912
49,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,8.804,228.747132928
50,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,9.717,26.528217088
51,US79466L3024,"SALESFORCE.COM    DL-,001",CRM,9.174,227.79109376
52,DE0007164600,SAP SE O.N.,SAPGF,6.349,165.287002112
53,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,14.16,40.06746112
54,DE0007276503,SECUNET SECURITY AG O.N.,,,
55,NL0012044747,SHOP APOTHEKE EUROPE INH.,SHPPF,2.1,2.257544704
56,CA82509L1076,SHOPIFY A SUB.VTG,SHOP,33.981,149.534081024
57,DE0007236101,SIEMENS AG  NA O.N.,SMAWF,2.958,141.505626112
58,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,4.861,44.07465984
59,US8522341036,SQUARE INC. A,SQ,3.988,67.623063552
60,IL0011267213,STRATASYS LTD,SSYS,1.687,1.531273088
61,DE000A2YN900,TEAMVIEWER AG  INH O.N.,TMVWF,6.26,2.688319232
62,US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,7.499,13.08551168
63,KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,1.226,552.498692096
64,US88160R1014,"TESLA INC. DL -,001",TSLA,23.23,1070.541111296
65,US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,6.488,245.811085312
66,US90138F1021,TWILIO INC.,TWLO,14.854,43.164532736
67,US90364P1057,"UIPATH INC.   A DL-,00001",PATH,22.441,20.87256064
68,US91332U1016,"UNITY SOFTWARE DL-,000005",U,32.958,35.454676992
69,DE000A0TGJ55,VARTA AG O.N.,VARGF,6.08,5.177851392
70,DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,3.395,0.310977024
71,DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,1.08,135.092518912
