,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.827,237.605126144
1,US00724F1012,ADOBE INC.,ADBE,20.525,311.387324416
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,11.07,167.314374656
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,13.837,52.683333632
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.952,94.557978624
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,7.775,1969.039736832
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.939,1746.739396608
7,US0378331005,APPLE INC.,AAPL,8.25,2944.128516096
8,US0382221051,APPLIED MATERIALS INC.,AMAT,5.947,137.904340992
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,40.824,12.660393984
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,17.59,319.753617408
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,41.563,94.180450304
12,US0527691069,AUTODESK INC.,ADSK,14.34,59.172732928
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.181,52.101287936
14,CA0585861085,BALLARD PWR SYS,BLDP,28.1,3.930483968
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,0.764,6.247973888
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,5299.364,5.021608448
17,US08862E1091,BEYOND MEAT INC.,BYND,9.344,4.085469952
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,4.414,62.491774976
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,10.916,260.009590784
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,8.217,6.69544192
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.626,108.876644352
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,10.852,17.608933376
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,8.882,66.983542784
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,3.726,5.63468288
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
