,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.26,212.587528192
1,US00724F1012,ADOBE INC.,ADBE,13.034,205.915488256
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,7.196,159.098847232
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,8.119,32.909838336
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.92,95.935545344
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,6.445,1725.396287488
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.438,1543.502036992
7,US0378331005,APPLE INC.,AAPL,7.493,2723.136667648
8,US0382221051,APPLIED MATERIALS INC.,AMAT,4.385,103.525064704
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,17.06,6.597831168
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,13.064,245.581856768
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,28.507,69.065064448
12,US0527691069,AUTODESK INC.,ADSK,10.315,43.509407744
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.24,47.814742016
14,CA0585861085,BALLARD PWR SYS,BLDP,19.816,3.182099712
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,317345.78,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,51.729,3.369159424
17,US08862E1091,BEYOND MEAT INC.,BYND,6.799,2.746988544
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,2.864,41.90799872
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.437,238.848475136
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,5.845,4.770987008
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.52,97.857765376
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,8.738,13.19248896
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,4.097,40.581402624
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,2.836,4.731950592
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
