,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.199,214.950576128
1,US00724F1012,ADOBE INC.,ADBE,13.483,220.328132608
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,8.284,186.788380672
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,8.564,36.01190912
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.903,98.500337664
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,6.571,1851.710767104
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.59,1678.055571456
7,US0378331005,APPLE INC.,AAPL,7.29,2755.041165312
8,US0382221051,APPLIED MATERIALS INC.,AMAT,4.905,119.682351104
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,21.604,8.209408
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,14.243,282.976321536
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,30.206,75.668406272
12,US0527691069,AUTODESK INC.,ADSK,10.817,47.659347968
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.202,53.806440448
14,CA0585861085,BALLARD PWR SYS,BLDP,22.038,3.514974976
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,317345.78,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,61.327,4.239285248
17,US08862E1091,BEYOND MEAT INC.,BYND,7.523,3.252728832
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,2.862,42.350743552
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.642,249.598509056
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,6.38,5.27586816
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.481,102.955040768
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,8.671,15.466955776
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,4.541,48.73435136
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,3.176,5.202062848
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,16.276,25.532096512
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.291,19.592083456
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,8.508,11.688398848
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,2.1,8.203226112
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,13.895,54.73626112
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,4.069,44.779188224
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,17.62,102.32696832
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,8.569,1.957019392
34,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.939,2.581101824
35,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
36,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
38,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,46665.07,0.997226176
39,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,10.646,29.528594432
40,US30303M1027,"META PLATF.  A DL-,000006",FB,4.586,602.668269568
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,2.795,88.62785536
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,13.722,2282.876305408
43,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.645,36.83903488
44,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,9.511,169.615179776
45,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,29.858,660.9780736
46,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,,0.035518236
47,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,17.368,2.245687808
48,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,13.966,26.603962368
49,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,8.994,138.489004032
50,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,11.094,16.86793216
51,US79466L3024,"SALESFORCE.COM    DL-,001",CRM,8.395,214.93686272
52,DE0007164600,SAP SE O.N.,SAPGF,5.323,134.437896192
53,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,10.134,25.612439552
54,DE0007276503,SECUNET SECURITY AG O.N.,,,
55,NL0012044747,SHOP APOTHEKE EUROPE INH.,SHPPF,2.1,1.565584128
56,CA82509L1076,SHOPIFY A SUB.VTG,SHOP,23.956,90.962763776
57,DE0007236101,SIEMENS AG  NA O.N.,SMAWF,2.451,118.980542464
58,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,2.938,28.248469504
59,US8522341036,SQUARE INC. A,SQ,4.342,65.404321792
60,IL0011267213,STRATASYS LTD,SSYS,1.566,1.645840384
61,DE000A2YN900,TEAMVIEWER AG  INH O.N.,TMVWF,6.26,2.917388032
62,US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,8.424,11.186879488
63,KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,1.274,490.096099328
64,US88160R1014,"TESLA INC. DL -,001",TSLA,24.547,998.214270976
65,US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,6.206,231.448035328
66,US90138F1021,TWILIO INC.,TWLO,15.961,29.092591616
67,US90364P1057,"UIPATH INC.   A DL-,00001",PATH,24.606,16.287320064
68,US91332U1016,"UNITY SOFTWARE DL-,000005",U,35.415,28.464273408
69,DE000A0TGJ55,VARTA AG O.N.,VARGF,6.08,4.453533696
70,DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,3.395,0.310977024
71,DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,1.087,108.535013376
