,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.865,239.196602368
1,US00724F1012,ADOBE INC.,ADBE,16.507,265.2680192
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,11.533,174.197735424
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,12.165,49.576521728
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.924,93.850927104
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,7.528,1909.39004928
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.825,1728.532840448
7,US0378331005,APPLE INC.,AAPL,7.96,2838.143172608
8,US0382221051,APPLIED MATERIALS INC.,AMAT,5.846,134.538641408
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,42.31,14.903134208
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,17.549,318.820057088
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,38.284,96.204996608
12,US0527691069,AUTODESK INC.,ADSK,14.66,61.684830208
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.194,50.40590848
14,CA0585861085,BALLARD PWR SYS,BLDP,26.186,3.732242688
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,0.764,6.247973888
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,6120.212,5.883526144
17,US08862E1091,BEYOND MEAT INC.,BYND,10.122,4.447722496
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,4.658,65.833660416
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,10.745,266.815684608
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,7.373,6.392698368
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.568,97.319411712
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,11.48,18.773581824
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,8.239,64.87001088
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,4.355,6.116037632
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,19.253,25.498368
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,4.008,23.645270016
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,8.436,14.19908608
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,2.372,13.848189952
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,13.962,59.309596672
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,5.61,59.056623616
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,20.872,124.350619648
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,9.829,3.902636032
34,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.931,2.134702848
35,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
36,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
38,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,43042.92,2.210375936
39,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,14.454,37.222846464
40,US30303M1027,"META PLATF.  A DL-,000006",FB,7.877,929.6642048
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,3.03,101.577015296
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,13.649,2457.28673792
43,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.589,39.323619328
44,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,9.724,267.950522368
45,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,28.24,724.54897664
46,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,,0.034386528
47,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,36.101,4.758298624
48,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,24.89,37.891096576
49,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,8.899,222.22626816
50,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,11.37,31.14131456
51,US79466L3024,"SALESFORCE.COM    DL-,001",CRM,10.155,248.761745408
52,DE0007164600,SAP SE O.N.,SAPGF,6.188,160.290357248
53,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,14.144,40.194564096
54,DE0007276503,SECUNET SECURITY AG O.N.,,,
55,NL0012044747,SHOP APOTHEKE EUROPE INH.,SHPPF,2.391,2.5615424
56,CA82509L1076,SHOPIFY A SUB.VTG,SHOP,39.355,171.85153024
57,DE0007236101,SIEMENS AG  NA O.N.,SMAWF,2.819,132.627980288
58,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,4.628,45.610921984
59,US8522341036,SQUARE INC. A,SQ,4.732,78.633721856
60,IL0011267213,STRATASYS LTD,SSYS,1.75,1.569898624
61,DE000A2YN900,TEAMVIEWER AG  INH O.N.,TMVWF,6.039,2.622221056
62,US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,8.564,15.48201472
63,KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,1.278,554.42735104
64,US88160R1014,"TESLA INC. DL -,001",TSLA,20.023,942.528135168
65,US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,6.758,255.863128064
66,US90138F1021,TWILIO INC.,TWLO,17.776,49.382866944
67,US90364P1057,"UIPATH INC.   A DL-,00001",PATH,24.619,22.810652672
68,US91332U1016,"UNITY SOFTWARE DL-,000005",U,39.955,42.620424192
69,DE000A0TGJ55,VARTA AG O.N.,VARGF,6.08,5.138002432
70,DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,3.395,0.310977024
71,DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,1.044,127.533481984
