ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,0.744,355.977199616
US88160R1014,"TESLA INC. DL -,001",TSLA,6.694,658.990104576
US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,4.509,166.502694912
US90138F1021,TWILIO INC.,TWLO,1.633,9.090262016
US90364P1057,"UIPATH INC.   A DL-,00001",PATH,5.836,8.467065344
US91332U1016,"UNITY SOFTWARE DL-,000005",U,6.221,9.793491968
DE000A0TGJ55,VARTA AG O.N.,VARGF,5.326,4.33879296
DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,1.68,0.110480136
DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,0.73,55.426527232
US98980L1017,"ZOOM VIDEO COMM. A -,001",ZM,2.666,17.843740672
IE00B3RBWM25,VANG.FTSE A.-WO.U.ETF DLD,VFPEF,,
US912810SN90,"1,25 %        USA 20/50                   15.MN",,,
ES0000012H58,"1,45 %        SPANIEN 21/71               31.OKT",,,
IT0005438004,"1,5 %         ITALIEN 21/45               30.AO",,,
