ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
DE0006599905,MERCK KGAA O.N.,MKGAF,3.628,69.14981888
US30303M1027,"META PLATF.  A DL-,000006",META,7.537,981.121171456
US5951121038,"MICRON TECHN. INC. DL-,10",MU,6.405,98.512928768
US5949181045,"MICROSOFT    DL-,00000625",MSFT,13.324,2946.965438464
DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.827,58.27733504
DE000A31C305,MYNARIC AG  NA O.N.,MOYFF,14.546,0.143373264
US64110L1061,"NETFLIX INC.      DL-,001",NFLX,6.764,212.585545728
KYG6525F1028,"NIO INC. CL. A DL -,00025",NIOIF,0.139,12.026207232
US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,32.677,1473.453883392
US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,8.154,0.010001824
DK0060094928,ORSTED A/S          DK 10,DOGEF,0.689,23.782100992
US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,11.85,1.84001472
US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,16.625,38.297423872
US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,2.349,68.720648192
NL0012044747,REDCARE PHARMACY INH.,SHPPF,1.722,4.467218944
US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,3.346,12.605196288
US79466L3024,"SALESFORCE INC.   DL-,001",CRM,8.047,271.330394112
DE0007164600,SAP SE O.N.,SAPGF,5.818,189.446176768
DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,8.667,19.930546176
DE0007276503,SECUNET SECURITY AG O.N.,,,
CA82509L1076,SHOPIFY A SUB.VTG,SHOP,14.934,103.074709504
DE0007236101,SIEMENS AG  NA O.N.,SMAWF,2.322,139.871141888
DE000A0DJ6J9,SMA SOLAR TECHNOL.AG,SMTGF,0.911,1.787744
US8334451098,"SNOWFLAKE INC. A DL-,0001",SNOW,23.774,65.457504256
LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,3.018,40.134238208
IL0011267213,STRATASYS LTD,SSYS,1.268,0.964851712
DE000A2YN900,TEAMVIEWER SE  INH O.N.,TMVWF,4.813,2.529884672
US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,1.558,3.46676352
KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,0.66,321.732182016
US88160R1014,"TESLA INC. DL -,001",TSLA,6.744,663.758503936
US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,5.602,213.814411264
US90138F1021,TWILIO INC.,TWLO,2.613,13.382699008
US90364P1057,"UIPATH INC.   A DL-,00001",PATH,9.53,13.29717248
US91332U1016,"UNITY SOFTWARE DL-,000005",U,7.186,13.004251136
DE000A0TGJ55,VARTA AG O.N.,VARGF,1.26,0.861362368
DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,1.646,0.121673968
DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,0.808,61.101502464
US98980L1017,"ZOOM VIDEO COMM. A -,001",ZM,3.283,21.184796672
IE00B3RBWM25,VANG.FTSE A.-WO.U.ETF DLD,VFPEF,,
US912810SN90,"1,25 %        USA 20/50                   15.MN",,,
ES0000012H58,"1,45 %        SPANIEN 21/71               31.OKT",,,
IT0005438004,"1,5 %         ITALIEN 21/45               30.AO",,,
