ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
US0028241000,ABBOTT LABS,ABT,5.205,199.108722688
US00724F1012,ADOBE INC.,ADBE,14.048,276.420591616
US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,12.598,281.468567552
US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,5.054,20.398741504
DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.849,105.764134912
US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,5.932,1841.264590848
US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.081,1605.283479552
US0378331005,APPLE INC.,AAPL,7.936,2961.881694208
US0382221051,APPLIED MATERIALS INC.,AMAT,5.231,139.56939776
US04342Y1047,ASANA INC. CL.A O.N.,ASAN,6.003,4.039010304
NL0010273215,"ASML HOLDING    EO -,09",ASMLF,11.067,296.929001472
US0494681010,ATLASSIAN CORP. CL.A,TEAM,16.654,62.698016768
US0527691069,AUTODESK INC.,ADSK,20.028,53.187825664
US0567521085,"BAIDU A ADR DL-,000000625",BIDU,1.532,35.886133248
CA0585861085,BALLARD PWR SYS,BLDP,2.065,0.9230448
DE000BASF111,BASF SE NA O.N.,BFFAF,0.857,42.41641472
DE000BAY0017,BAYER AG NA O.N.,BAYZF,1.536,35.092185088
US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,12.725,1.930832128
US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
US08862E1091,BEYOND MEAT INC.,BYND,,
US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.236,23.726434304
US8522341036,BLOCK INC. A,SQ,1.928,40.953864192
US11135F1012,"BROADCOM INC.     DL-,001",AVGO,14.825,571.36611328
US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,2.842,2.630104064
CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.079,73.963454464
DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,4.823,9.918962688
US18915M1071,"CLOUDFLARE INC. A DL-,001",NET,23.39,28.43317248
US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,10.952,30.673731584
CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,21.679,5.183758848
US22788C1053,"CROWDSTRIKE HLD. DL-,0005",CRWD,24.365,71.721705472
DE0005810055,DEUTSCHE BOERSE NA O.N.,DBOEF,,
DE0005552004,DEUTSCHE POST AG NA O.N.,DPSTF,0.894,57.475551232
DE0005557508,DT.TELEKOM AG NA,DTEGF,2.636,124.914229248
DE0006095003,ENCAVIS AG  INH. O.N.,ENCVF,7.26,2.127206272
US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,5.205,14.631440384
FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,2.226,11.881100288
US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,5.727,11.937908736
US31189P1021,"FATE THERAPEUTICS DL-,001",FATE,2.077,0.465401408
DE0005785604,FRESENIUS SE+CO.KGAA O.N.,FSNUF,0.97,16.1024768
US37637K1088,"GITLAB CL.A   DL-,0000025",GTLB,18.555,10.9441536
DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,0.328,2.250196736
DE0006048432,HENKEL AG+CO.KGAA VZO,HENOF,1.615,31.087136768
US4523271090,"ILLUMINA INC.      DL-,01",ILMN,5.239,22.054144
DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,3.134,49.581613056
US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,18.38,132.312178688
US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,2.858,0.122676304
US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.51,1.469793408
NL0015000F41,"LILIUM N.V.  CL.A  EO0,01",LILM,,
US5747951003,"MASIMO CORP.      DL-,001",MASI,3.549,6.63528192
US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,3.98,9.845030912
IE00BTN1Y115,"MEDTRONIC PLC    DL-,0001",MDT,4.146,114.97484288
DE0007100000,MERCEDES-BENZ GRP NA O.N.,MBGAF,1.037,69.122359296
