,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,4.414,190.239637504
1,US00724F1012,ADOBE INC.,ADBE,10.381,172.96334848
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,6.703,123.920400384
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,4.284,18.650898432
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.853,78.76952064
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,4.865,1435.382841344
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.489,1080.623038464
7,US0378331005,APPLE INC.,AAPL,5.94,2212.840603648
8,US0382221051,APPLIED MATERIALS INC.,AMAT,3.298,79.147778048
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,8.408,3.344753408
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,10.807,191.60834048
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,18.803,47.5034624
12,US0527691069,AUTODESK INC.,ADSK,8.734,37.36209408
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.178,52.705153024
14,CA0585861085,BALLARD PWR SYS,BLDP,7.647,1.878382848
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,-7.545,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,25.593,2.720027648
17,US08862E1091,BEYOND MEAT INC.,BYND,4.629,1.52120512
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.202,36.2341376
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,7.619,196.17882112
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,6.277,5.196489728
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.425,142.402289664
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,5.9,11.180075008
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,1.256,12.314537984
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,3.307,4.707068416
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,17.078,26.362867712
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,2.563,15.845111808
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,4.47,6.93047296
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,0.844,5.973021696
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,6.582,28.962955264
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,2.866,31.546865664
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,11.646,72.04626432
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,3.027,0.559465152
34,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.909,3.375928576
35,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
36,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
38,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,8960.407,0.6871824
39,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,7.288,19.902976
40,US30303M1027,"META PLATF.  A DL-,000006",FB,3.604,436.39406592
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,1.928,61.729513472
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,9.823,1920.839057408
43,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.492,32.368474112
44,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,2.936,77.690191872
45,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,12.865,377.76228352
46,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,-7.731,0.015417939
47,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,7.533,0.991772928
48,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,10.2,18.56257024
49,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,3.301,80.877510656
50,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,3.575,11.168740352
51,US79466L3024,"SALESFORCE.COM    DL-,001",CRM,6.137,164.214800384
52,DE0007164600,SAP SE O.N.,SAPGF,4.309,105.85001984
53,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,6.304,28.27367424
54,DE0007276503,SECUNET SECURITY AG O.N.,,,
55,NL0012044747,SHOP APOTHEKE EUROPE INH.,SHPPF,1.419,1.605940608
56,CA82509L1076,SHOPIFY A SUB.VTG,SHOP,7.9,39.406759936
57,DE0007236101,SIEMENS AG  NA O.N.,SMAWF,2.04,90.192822272
58,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,1.71,18.07719424
59,US8522341036,SQUARE INC. A,SQ,2.075,35.677773824
60,IL0011267213,STRATASYS LTD,SSYS,1.246,1.244485888
61,DE000A2YN900,TEAMVIEWER AG  INH O.N.,TMVWF,5.133,2.251995136
62,US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,2.995,5.352887296
63,KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,0.997,441.51947264
64,US88160R1014,"TESLA INC. DL -,001",TSLA,10.677,697.669844992
65,US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,5.848,212.67349504
66,US90138F1021,TWILIO INC.,TWLO,3.943,15.226517504
67,US90364P1057,"UIPATH INC.   A DL-,00001",PATH,9.195,9.908675584
68,US91332U1016,"UNITY SOFTWARE DL-,000005",U,9.796,11.213604864
69,DE000A0TGJ55,VARTA AG O.N.,VARGF,4.372,4.112908032
70,DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,7.956,0.307853376
71,DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,0.957,92.191277056
