,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,4.661,198.276448256
1,US00724F1012,ADOBE INC.,ADBE,11.68,188.570025984
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,7.795,151.51767552
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,5.158,21.674665984
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.888,84.453998592
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,4.936,1436.855959552
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.45,1094.673891328
7,US0378331005,APPLE INC.,AAPL,5.946,2226.921668608
8,US0382221051,APPLIED MATERIALS INC.,AMAT,3.825,94.046232576
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,10.562,4.073842944
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,11.867,213.233860608
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,17.341,44.968595456
12,US0527691069,AUTODESK INC.,ADSK,9.608,41.63684352
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.269,43.535003648
14,CA0585861085,BALLARD PWR SYS,BLDP,10.244,2.16277632
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,-7.545,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,22.332,2.47268864
17,US08862E1091,BEYOND MEAT INC.,BYND,4.631,1.548528384
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.443,39.612096512
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,8.81,221.77415168
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,6.02,5.20018176
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.376,115.270811648
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,6.6,11.651232768
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,1.761,17.324685312
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,1.825,4.363933184
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,14.482,22.698944512
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.02,16.707045376
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,6.086,9.162201088
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,0.968,6.407433216
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,10.556,38.057488384
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,3.474,39.041318912
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,13.878,78.259912704
