,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,3.87,171.461951488
1,US00724F1012,ADOBE INC.,ADBE,8.486,150.15804928
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,4.271,99.683295232
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,3.871,16.954947584
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.829,73.541902336
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,4.413,1361.988550656
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.701,1228.47166464
7,US0378331005,APPLE INC.,AAPL,6.291,2442.920722432
8,US0382221051,APPLIED MATERIALS INC.,AMAT,2.91,74.984538112
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,7.974,4.56783104
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,9.184,190.75530752
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,17.666,52.115243008
12,US0527691069,AUTODESK INC.,ADSK,9.483,46.3665152
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.304,28.1802752
14,CA0585861085,BALLARD PWR SYS,BLDP,6.827,1.704161664
15,DE000BASF111,BASF SE NA O.N.,BFFAF,0.729,43.403833344
16,DE000BAY0017,BAYER AG NA O.N.,BAYZF,1.783,49.779421184
17,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,-9.586,6.327809024
18,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,27.315,3.312294656
19,US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
20,US08862E1091,BEYOND MEAT INC.,BYND,3.235,0.899942976
21,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,1.123,33.02700032
22,US8522341036,BLOCK INC. A,SQ,2.087,35.376226304
23,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,6.682,185.485574144
24,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,4.779,4.461782016
25,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.251,87.47646976
26,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,5.928,10.442189824
