ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
DE0006599905,MERCK KGAA O.N.,MKGAF,3.481,68.47844352
US30303M1027,"META PLATF.  A DL-,000006",META,6.453,794.205814784
US5951121038,"MICRON TECHN. INC. DL-,10",MU,5.033,73.809575936
US5949181045,"MICROSOFT    DL-,00000625",MSFT,11.303,2427.0798848
DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.785,54.026366976
DE000A31C305,MYNARIC AG  NA O.N.,MOYFF,12.393,0.127477536
US64110L1061,"NETFLIX INC.      DL-,001",NFLX,5.631,177.684217856
KYG6525F1028,"NIO INC. CL. A DL -,00025",NIOIF,0.402,14.670989312
US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,31.125,1022.258970624
US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,2.783,0.01046184
DK0060094928,ORSTED A/S          DK 10,DOGEF,0.558,19.395786752
US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,13.418,1.851623552
US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,15.593,34.665984
US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,2.099,58.624356352
NL0012044747,REDCARE PHARMACY INH.,SHPPF,1.412,3.110829312
US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,2.287,8.588176896
US79466L3024,"SALESFORCE INC.   DL-,001",CRM,6.04,198.22927872
DE0007164600,SAP SE O.N.,SAPGF,4.503,154.926759936
DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,6.235,16.515677184
DE0007276503,SECUNET SECURITY AG O.N.,,,
CA82509L1076,SHOPIFY A SUB.VTG,SHOP,9.83,65.60086016
DE0007236101,SIEMENS AG  NA O.N.,SMAWF,1.952,106.587840512
DE000A0DJ6J9,SMA SOLAR TECHNOL.AG,SMTGF,1.405,2.398750976
US8334451098,"SNOWFLAKE INC. A DL-,0001",SNOW,18.514,48.6867968
LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,2.217,29.185824768
IL0011267213,STRATASYS LTD,SSYS,0.972,0.80060416
DE000A2YN900,TEAMVIEWER SE  INH O.N.,TMVWF,5.547,2.872132864
US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,1.451,3.04501376
KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,0.75,351.180980224
US88160R1014,"TESLA INC. DL -,001",TSLA,6.804,672.854114304
US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,4.878,179.21974272
US90138F1021,TWILIO INC.,TWLO,1.774,9.658969088
US90364P1057,"UIPATH INC.   A DL-,00001",PATH,6.127,8.801440768
US91332U1016,"UNITY SOFTWARE DL-,000005",U,6.567,10.418526208
DE000A0TGJ55,VARTA AG O.N.,VARGF,5.326,4.33879296
DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,1.68,0.110480136
DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,0.801,59.574775808
US98980L1017,"ZOOM VIDEO COMM. A -,001",ZM,2.829,18.572056576
IE00B3RBWM25,VANG.FTSE A.-WO.U.ETF DLD,VFPEF,,
US912810SN90,"1,25 %        USA 20/50                   15.MN",,,
ES0000012H58,"1,45 %        SPANIEN 21/71               31.OKT",,,
IT0005438004,"1,5 %         ITALIEN 21/45               30.AO",,,
