ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
US0028241000,ABBOTT LABS,ABT,4.43,167.948140544
US00724F1012,ADOBE INC.,ADBE,12.86,246.299099136
US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,7.363,164.491362304
US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,5.293,20.654913536
DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.146,92.411174912
US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,5.648,1716.387971072
US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,2.605,1291.479023616
US0378331005,APPLE INC.,AAPL,7.162,2702.840430592
US0382221051,APPLIED MATERIALS INC.,AMAT,4.211,112.195936256
US04342Y1047,ASANA INC. CL.A O.N.,ASAN,6.233,4.033288192
NL0010273215,"ASML HOLDING    EO -,09",ASMLF,8.49,233.189376
US0494681010,ATLASSIAN CORP. CL.A,TEAM,13.373,48.304283648
US0527691069,AUTODESK INC.,ADSK,8.427,43.327823872
US0567521085,"BAIDU A ADR DL-,000000625",BIDU,1.662,37.281226752
CA0585861085,BALLARD PWR SYS,BLDP,2.72,0.995063872
DE000BASF111,BASF SE NA O.N.,BFFAF,0.777,39.494098944
DE000BAY0017,BAYER AG NA O.N.,BAYZF,1.697,43.619627008
US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,5.818,1.401039232
US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
US08862E1091,BEYOND MEAT INC.,BYND,4.052,0.44007696
US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,0.702,21.797582848
US8522341036,BLOCK INC. A,SQ,1.335,26.831142912
US11135F1012,"BROADCOM INC.     DL-,001",AVGO,10.724,352.32382976
US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,2.937,2.521603072
CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.067,93.600776192
DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,3.62,7.374031872
US18915M1071,"CLOUDFLARE INC. A DL-,001",NET,17.495,19.845863424
US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,6.217,17.70756096
CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,9.077,3.066868224
US22788C1053,"CROWDSTRIKE HLD. DL-,0005",CRWD,15.266,42.685743104
DE0005810055,DEUTSCHE BOERSE NA O.N.,DBOEF,6.899,30.691762176
DE0005552004,DEUTSCHE POST AG NA O.N.,DPSTF,0.743,47.419707392
DE0005557508,DT.TELEKOM AG NA,DTEGF,2.442,106.614693888
DE0006095003,ENCAVIS AG  INH. O.N.,ENCVF,7.196,2.127206272
US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,4.635,13.484146688
FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,1.833,9.650240512
US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,5.826,11.60772608
US31189P1021,"FATE THERAPEUTICS DL-,001",FATE,-0.624,0.1971248
DE0005785604,FRESENIUS SE+CO.KGAA O.N.,FSNUF,1.25,15.03842816
US37637K1088,"GITLAB CL.A   DL-,0000025",GTLB,11.781,6.856304128
DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,0.629,4.580989952
DE0006048432,HENKEL AG+CO.KGAA VZO,HENOF,1.408,27.606366208
US4523271090,"ILLUMINA INC.      DL-,01",ILMN,4.579,18.939011072
DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,2.622,40.644866048
US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,12.784,93.780164608
US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,2.847,0.150911664
US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.536,1.412480128
NL0015000F41,"LILIUM N.V.  CL.A  EO0,01",LILM,,0.320200768
US5747951003,"MASIMO CORP.      DL-,001",MASI,2.391,4.393409536
US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,4.071,9.877650432
IE00BTN1Y115,"MEDTRONIC PLC    DL-,0001",MDT,3.613,96.729530368
DE0007100000,MERCEDES-BENZ GRP NA O.N.,MBGAF,1.046,70.219997184
