ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
US0028241000,ABBOTT LABS,ABT,,
US00724F1012,ADOBE INC.,ADBE,,
US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,,
US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,,
DE0008404005,ALLIANZ SE NA O.N.,ALIZF,,
US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,,
US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,,
US0378331005,APPLE INC.,AAPL,,
US0382221051,APPLIED MATERIALS INC.,AMAT,,
US04342Y1047,ASANA INC. CL.A O.N.,ASAN,,
NL0010273215,"ASML HOLDING    EO -,09",ASMLF,,
US0494681010,ATLASSIAN CORP. CL.A,TEAM,,
US0527691069,AUTODESK INC.,ADSK,,
US0567521085,"BAIDU A ADR DL-,000000625",BIDU,,
CA0585861085,BALLARD PWR SYS,BLDP,,
DE000BASF111,BASF SE NA O.N.,BFFAF,,
DE000BAY0017,BAYER AG NA O.N.,BAYZF,,
US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,,
US0846707026,"BERKSH. H.B NEW DL-,00333",BRK/B,,
US08862E1091,BEYOND MEAT INC.,BYND,,
US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,,
US8522341036,BLOCK INC. A,SQ,,
US11135F1012,"BROADCOM INC.     DL-,001",AVGO,,
US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,,
CNE100000296,BYD CO. LTD H        YC 1,BYDDF,,
DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,,
US18915M1071,"CLOUDFLARE INC. A DL-,001",NET,,
US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,,
CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,,
US22788C1053,"CROWDSTRIKE HLD. DL-,0005",CRWD,,
DE0005810055,DEUTSCHE BOERSE NA O.N.,DBOEF,,
DE0005552004,DEUTSCHE POST AG NA O.N.,DPSTF,,
DE0005557508,DT.TELEKOM AG NA,DTEGF,,
DE0006095003,ENCAVIS AG  INH. O.N.,ENCVF,,
US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,,
FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,,
US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,,
US31189P1021,"FATE THERAPEUTICS DL-,001",FATE,,
DE0005785604,FRESENIUS SE+CO.KGAA O.N.,FSNUF,,
US37637K1088,"GITLAB CL.A   DL-,0000025",GTLB,,
DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,,
DE0006048432,HENKEL AG+CO.KGAA VZO,HENOF,,
US4523271090,"ILLUMINA INC.      DL-,01",ILMN,,
DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,,
US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,,
US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,,
US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,,
NL0015000F41,"LILIUM N.V.  CL.A  EO0,01",LILM,,
US5747951003,"MASIMO CORP.      DL-,001",MASI,,
US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,,
IE00BTN1Y115,"MEDTRONIC PLC    DL-,0001",MDT,,
DE0007100000,MERCEDES-BENZ GRP NA O.N.,MBGAF,,
DE0006599905,MERCK KGAA O.N.,MKGAF,,
US30303M1027,"META PLATF.  A DL-,000006",META,,
US5951121038,"MICRON TECHN. INC. DL-,10",MU,,
US5949181045,"MICROSOFT    DL-,00000625",MSFT,,
DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,,
DE000A31C305,MYNARIC AG  NA O.N.,MOYFF,,
US64110L1061,"NETFLIX INC.      DL-,001",NFLX,,
KYG6525F1028,"NIO INC. CL. A DL -,00025",NIOIF,,
US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,,
US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,,
DK0060094928,ORSTED A/S          DK 10,DOGEF,,
US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,,
US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,,
US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,,
NL0012044747,REDCARE PHARMACY INH.,SHPPF,,
US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,,
US79466L3024,"SALESFORCE INC.   DL-,001",CRM,,
DE0007164600,SAP SE O.N.,SAPGF,,
DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,,
DE0007276503,SECUNET SECURITY AG O.N.,,,
CA82509L1076,SHOPIFY A SUB.VTG,SHOP,,
DE0007236101,SIEMENS AG  NA O.N.,SMAWF,,
