ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
DE000A0DJ6J9,SMA SOLAR TECHNOL.AG,SMTGF,,
US8334451098,"SNOWFLAKE INC. A DL-,0001",SNOW,,
LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,,
IL0011267213,STRATASYS LTD,SSYS,,
DE000A2YN900,TEAMVIEWER SE  INH O.N.,TMVWF,,
US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,,
KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,,
US88160R1014,"TESLA INC. DL -,001",TSLA,,
US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,,
US90138F1021,TWILIO INC.,TWLO,,
US90364P1057,"UIPATH INC.   A DL-,00001",PATH,,
US91332U1016,"UNITY SOFTWARE DL-,000005",U,,
DE000A0TGJ55,VARTA AG O.N.,VARGF,,
DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,,
DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,,
US98980L1017,"ZOOM VIDEO COMM. A -,001",ZM,,
IE00B3RBWM25,VANG.FTSE A.-WO.U.ETF DLD,VFPEF,,
US912810SN90,"1,25 %        USA 20/50                   15.MN",,,
ES0000012H58,"1,45 %        SPANIEN 21/71               31.OKT",,,
IT0005438004,"1,5 %         ITALIEN 21/45               30.AO",,,
