ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
US0028241000,ABBOTT LABS,ABT,timeout,timeout
US00724F1012,ADOBE INC.,ADBE,timeout,timeout
US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,timeout,timeout
US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,timeout,timeout
DE0008404005,ALLIANZ SE NA O.N.,ALIZF,timeout,timeout
US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,timeout,timeout
US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,timeout,timeout
US0378331005,APPLE INC.,AAPL,timeout,timeout
US0382221051,APPLIED MATERIALS INC.,AMAT,timeout,timeout
US04342Y1047,ASANA INC. CL.A O.N.,ASAN,timeout,timeout
NL0010273215,"ASML HOLDING    EO -,09",ASMLF,timeout,timeout
US0494681010,ATLASSIAN CORP. CL.A,TEAM,timeout,timeout
