,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,4.944,206.300708864
1,US00724F1012,ADOBE INC.,ADBE,12.226,200.988377088
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,7.436,176.413966336
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,7.273,31.802302464
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.878,94.0781568
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,6.072,1711.57946368
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.165,1528.851464192
7,US0378331005,APPLE INC.,AAPL,6.653,2519.796809728
8,US0382221051,APPLIED MATERIALS INC.,AMAT,4.391,111.086788608
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,16.171,6.499131904
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,12.434,244.001570816
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,25.028,63.262633984
12,US0527691069,AUTODESK INC.,ADSK,9.725,41.833365504
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.307,42.704297984
14,CA0585861085,BALLARD PWR SYS,BLDP,18.181,3.129287936
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,317345.78,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,54.285,4.325056
17,US08862E1091,BEYOND MEAT INC.,BYND,5.852,2.625793024
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,2.251,34.6969088
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.306,242.33926656
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,5.002,3.998436096
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.398,96.873275392
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,8.364,13.863292928
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,3.88,39.876890624
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,2.536,4.781594112
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,16.605,21.316583424
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,2.924,18.6741248
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,6.958,10.006503424
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,1.122,7.090842112
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,10.806,48.685699072
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,3.763,40.563884032
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,15.81,100.335239168
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,5.075,1.458059392
34,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.922,2.1898048
35,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
36,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
