,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.899,244.448428032
1,US00724F1012,ADOBE INC.,ADBE,17.741,261.137350656
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,11.077,168.21403648
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,12.189,48.176095232
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.961,93.843218432
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,7.562,1899.713265664
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.964,1710.299283456
7,US0378331005,APPLE INC.,AAPL,7.928,2815.832096768
8,US0382221051,APPLIED MATERIALS INC.,AMAT,5.712,132.414537728
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,37.172,13.31569152
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,17.084,316.086321152
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,38.52,87.543177216
12,US0527691069,AUTODESK INC.,ADSK,14.483,60.342181888
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.207,50.213224448
14,CA0585861085,BALLARD PWR SYS,BLDP,26.371,3.776886528
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,0.764,6.247973888
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,5401.221,5.577596416
17,US08862E1091,BEYOND MEAT INC.,BYND,9.567,4.2954112
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,4.874,67.790774272
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,10.745,257.535770624
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,7.709,6.117643776
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.59,98.978766848
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,11.002,18.363236352
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,8.57,63.81324288
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,3.966,6.229297664
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,22.02,25.393123328
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.919,23.655368704
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,8.474,13.551166464
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,2.309,13.467761664
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,14.603,59.9066624
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,5.43,57.65441536
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,20.843,120.94615552
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,9.689,3.866416896
34,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.93,2.148977152
35,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
36,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
38,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,42318.492,2.031386624
39,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,13.748,35.747971072
40,US30303M1027,"META PLATF.  A DL-,000006",FB,7.894,927.188451328
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,3.412,92.033171456
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,13.547,2405.707022336
43,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.605,39.591981056
44,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,9.51,260.057104384
45,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,31.062,705.235779584
46,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,,0.037172272
47,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,38.84,4.588438016
48,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,24.834,37.67076864
49,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,8.88,218.419494912
50,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,10.099,30.492342272
51,US79466L3024,"SALESFORCE.COM    DL-,001",CRM,10.178,247.205445632
52,DE0007164600,SAP SE O.N.,SAPGF,6.201,165.607817216
53,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,14.144,40.427249664
54,DE0007276503,SECUNET SECURITY AG O.N.,,,
55,NL0012044747,SHOP APOTHEKE EUROPE INH.,SHPPF,2.391,2.5615424
56,CA82509L1076,SHOPIFY A SUB.VTG,SHOP,38.065,166.49437184
57,DE0007236101,SIEMENS AG  NA O.N.,SMAWF,2.903,133.828468736
58,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,4.595,45.130125312
59,US8522341036,SQUARE INC. A,SQ,4.605,76.32273408
60,IL0011267213,STRATASYS LTD,SSYS,1.886,1.565315968
61,DE000A2YN900,TEAMVIEWER AG  INH O.N.,TMVWF,6.039,2.579740928
62,US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,7.766,15.514015744
63,KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,1.251,560.700391424
64,US88160R1014,"TESLA INC. DL -,001",TSLA,19.774,946.484805632
65,US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,6.919,258.643263488
66,US90138F1021,TWILIO INC.,TWLO,16.654,48.63834112
67,US90364P1057,"UIPATH INC.   A DL-,00001",PATH,23.55,21.775951872
68,US91332U1016,"UNITY SOFTWARE DL-,000005",U,36.545,39.611805696
69,DE000A0TGJ55,VARTA AG O.N.,VARGF,6.08,5.138002432
70,DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,3.395,0.310977024
71,DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,1.062,130.156724224
