,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.634,227.620306944
1,US00724F1012,ADOBE INC.,ADBE,20.082,308.380270592
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,10.174,155.600551936
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,13.703,52.160393216
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,0.829,97.575583744
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,7.619,1929.238151168
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.787,1680.637689856
7,US0378331005,APPLE INC.,AAPL,6.883,2466.702426112
8,US0382221051,APPLIED MATERIALS INC.,AMAT,5.859,127.294930944
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,79.921,24.036780032
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,18.416,340.928167936
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,50.241,111.951437824
12,US0527691069,AUTODESK INC.,ADSK,17.422,66.768449536
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.112,58.278260736
14,CA0585861085,BALLARD PWR SYS,BLDP,43.636,5.430750208
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,1.767,7.4528384
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,242444.75,6.28706048
17,US08862E1091,BEYOND MEAT INC.,BYND,14.116,6.788544
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,9.008,71.299997696
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.447,220.424486912
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,10.697,9.656426496
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.638,108.036636672
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,11.86,18.693085184
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,13.888,88.880553984
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,5.439,7.3153152
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,25.9,31.902640128
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.965,23.294304256
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,10.427,15.594054656
29,US30303M1027,"FACEBOOK INC.A DL-,000006",FB,7.725,910.859501568
30,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,3.118,16.717555712
31,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,14.951,64.526516224
32,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,6.199,62.605983744
33,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,22.364,127.104917504
34,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,16.048,5.929556992
35,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.845,2.625890048
36,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
38,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
39,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,56927.83,2.653587712
40,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,16.816,42.961616896
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,2.808,79.366086656
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,13.898,2485.0661376
43,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.618,42.301538304
44,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,9.228,302.258946048
45,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,25.35,164.443963392
46,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,,0.04547814
47,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,46.131,6.275743232
48,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,32.979,48.79925248
49,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,14.582,265.947119616
50,US7437131094,"PROTO LABS INC.   DL-,001",PRLB,4.699,1.718901888
51,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,25.482,41.021181952
52,US79466L3024,"SALESFORCE.COM    DL-,001",CRM,9.629,278.062497792
53,DE0007164600,SAP SE O.N.,SAPGF,6.228,171.037999104
54,DE0007165631,SARTORIUS AG VZO O.N.,SUVPF,16.362,41.596133376
55,DE0007276503,SECUNET SECURITY AG O.N.,,,
56,NL0012044747,SHOP APOTHEKE EUROPE INH.,SHPPF,2.975,1.837414784
57,CA82509L1076,SHOPIFY A SUB.VTG,SHOP,46.248,179.650658304
58,DE0007236101,SIEMENS AG  NA O.N.,SMAWF,2.906,135.080787968
59,LU1778762911,SPOTIFY TECH. S.A.  EUR 1,SPOT,6.082,56.179044352
60,US8522341036,SQUARE INC. A,SQ,7.82,113.960640512
61,IL0011267213,STRATASYS LTD,SSYS,1.645,2.108033024
62,DE000A2YN900,TEAMVIEWER AG  INH O.N.,TMVWF,15.209,3.116350208
63,US87918A1051,TELADOC HEALTH INC.DL-001,TDOC,19.182,23.48254208
64,KYG875721634,"TENCENT HLDGS   HD-,00002",TCTZF,1.323,575.634604032
65,US88160R1014,"TESLA INC. DL -,001",TSLA,17.51,1121.97107712
66,US8835561023,THERMO FISH.SCIENTIF.DL 1,TMO,6.314,248.094998528
67,US90138F1021,TWILIO INC.,TWLO,23.119,50.672529408
68,US90364P1057,"UIPATH INC.   A DL-,00001",PATH,32.289,27.550654464
69,US91332U1016,"UNITY SOFTWARE DL-,000005",U,31.88,40.977416192
70,DE000A0TGJ55,VARTA AG O.N.,VARGF,7.361,11.481465856
71,DE000A0BL849,VITA 34 AG NA O.N.,VTIAF,,
72,DE0007664039,VOLKSWAGEN AG VZO O.N.,VLKPF,1.061,127.709421568
73,US98954M2008,"ZILLOW GROUP C CAP.DL-,01",Z,5.921,17.492467712
