,ISIN,Wertpapiername,Ticker,Price to revenue,Marketcap
0,US0028241000,ABBOTT LABS,ABT,5.423,222.636556288
1,US00724F1012,ADOBE INC.,ADBE,15.334,242.536660992
2,US0079031078,"ADVANCED MIC.DEV.  DL-,01",AMD,9.715,149.176057856
3,US0162551016,"ALIGN TECHNOLOGY DL-,0001",ALGN,9.998,38.120742912
4,DE0008404005,ALLIANZ SE NA O.N.,ALIZF,1.028,102.053486592
5,US02079K1079,"ALPHABET INC.CL C DL-,001",GOOG,6.933,1776.629055488
6,US0231351067,"AMAZON.COM INC.    DL-,01",AMZN,3.587,1495.011426304
7,US0378331005,APPLE INC.,AAPL,7.58,2698.442702848
8,US0382221051,APPLIED MATERIALS INC.,AMAT,5.374,125.306994688
9,US04342Y1047,ASANA INC. CL.A O.N.,ASAN,29.478,10.029879296
10,NL0010273215,"ASML HOLDING    EO -,09",ASMLF,15.034,301.681082368
11,GB00BZ09BD16,"ATLASSIAN CORP. A DL -,10",TEAM,32.461,73.869303808
12,US0527691069,AUTODESK INC.,ADSK,13.474,54.059462656
13,US0567521085,"BAIDU A ADR DL-,000000625",BIDU,-0.145,56.208535552
14,CA0585861085,BALLARD PWR SYS,BLDP,19.825,3.018239232
15,CH0038389992,"BB BIOTECH NAM.   SF 0,20",BBAGF,0.831,6.327809024
16,US07373V1052,"BEAM THERAPEUTICS  DL-,01",BEAM,4329.584,4.49696256
17,US08862E1091,BEYOND MEAT INC.,BYND,8.925,3.926509568
18,US09075V1026,BIONTECH SE SPON. ADRS 1,BNTX,2.621,36.704948224
19,US11135F1012,"BROADCOM INC.     DL-,001",AVGO,9.263,228.738383872
20,US12047B1052,"BUMBLE INC. CL.A  DL -,01",BMBL,7.162,5.74198272
21,CNE100000296,BYD CO. LTD H        YC 1,BYDDF,0.569,96.285958144
22,DE0005313704,CARL ZEISS MEDITEC AG,CZMWF,9.055,14.24341504
23,US19260Q1076,"COINBASE GLB.CL.A -,00001",COIN,7.642,51.685965824
24,CH0334081137,"CRISPR THERAPEUT. SF -,03",CRSP,2.94,5.04925184
25,DE0006095003,ENCAVIS AG  INH. O.N.,,,
26,US29355A1079,"ENPHASE ENERGY INC.DL-,01",ENPH,14.427,17.794891776
27,FR0014000MR3,"EUROFINS SCI.INH.EO 0,01",ERFSF,3.393,19.821611008
28,US30063P1057,"EXACT SCIEN.       DL-,01",EXAS,8.128,13.411106816
29,DE000A161408,HELLOFRESH SE  INH O.N.,HLFFF,2.025,11.335652352
30,US4523271090,"ILLUMINA INC.      DL-,01",ILMN,14.334,59.344560128
31,DE0006231004,INFINEON TECH.AG NA O.N.,IFNNF,5.228,54.871937024
32,US46120E6023,"INTUITIVE SURGIC. DL-,001",ISRG,18.357,98.118713344
33,US46185L1035,"INVITAE CORP.    DL-,0001",NVTA,6.903,2.605530368
34,US47759T1007,JINKOSOLAR ADR/4 DL-00002,JKS,0.933,2.103702912
35,DE000LS9HXM7,LANG+SCHWARZ O.E. INDEX,,,
36,DE000LS9PBC7,LANG+SCHWARZ O.E. INDEX,,,
37,DE000LS9PWA7,LANG+SCHWARZ O.E. INDEX,,,
38,NL0015000F41,LILIUM N.V.  CL.A     EO1,LILM,33383.855,1.519988608
39,US57667L1070,"MATCH GR.INC. NEW DL-,001",MTCH,13.17,33.933398016
40,US30303M1027,"META PLATF.  A DL-,000006",FB,7.44,872.498987008
41,US5951121038,"MICRON TECHN. INC. DL-,10",MU,3.336,94.755782656
42,US5949181045,"MICROSOFT    DL-,00000625",MSFT,12.555,2267.747975168
43,DE0008430026,MUENCH.RUECKVERS.VNA O.N.,MURGF,0.655,43.351691264
44,US64110L1061,"NETFLIX INC.      DL-,001",NFLX,8.229,172.272893952
45,US67066G1040,"NVIDIA CORP.      DL-,001",NVDA,25.509,604.90809344
46,US68620A2033,"ORGANOVO HLDGS     DL-,01",ONVO,,0.024766134
47,US69404D1081,"PAC.BIOSCI.OF CAL.DL-,001",PACB,18.291,2.305249024
48,US69608A1088,PALANTIR TECHNOLOGIES INC,PLTR,18.894,28.187768832
49,US70450Y1038,"PAYPAL HDGS INC.DL-,0001",PYPL,8.14,197.5640064
50,US77543R1023,"ROKU INC   CL. A DL-,0001",ROKU,8.125,21.25353984
51,US79466L3024,"SALESFORCE.COM    DL-,001",CRM,8.988,217.655443456
52,DE0007164600,SAP SE O.N.,SAPGF,6.206,163.133161472
